blad;sidor;format;yta_m2;banor;fil_kB;vagg_s;cpu_s;minne_MB;utdata_MB;fragor;fragetecken;skala;namn_med_meter;cpu_kr;llm_kr;lagring_kr;kr
src|00 - skalstockar|R9UHA10-CLB001-004.pdf;1;A1;0.5;18186;327;34.2;35.3;238.0;4.5;0;0;VERIFIED;0;0.0101;0.0;0.0134;0.023
TOFTASKOLAN HUS B|V-57.1-03.pdf;1;A1;0.5;8023;222;10.8;12.0;212.0;6.4;0;0;VERIFIED;10;0.0034;0.0;0.0193;0.023
z|5|3.pdf;1;A1;0.5;8975;188;28.0;29.2;209.0;4.8;0;0;VERIFIED;8;0.0083;0.0;0.0144;0.023
z|13|1760280_1.pdf;1;A1;0.5;12091;353;17.4;18.7;227.0;6.0;0;0;VERIFIED;4;0.0053;0.0;0.0181;0.023
z|13|1760281_1.pdf;1;A1;0.5;13357;377;17.3;18.6;232.0;6.1;0;0;VERIFIED;3;0.0053;0.0;0.0182;0.023
z|4|9.pdf;1;A1;0.5;13377;279;17.0;18.2;248.0;5.9;0;0;VERIFIED;2;0.0052;0.0;0.0177;0.023
V-50-1-B0114;1;A1;0.5;9816;393;10.5;11.6;226.0;6.1;0;0;VERIFIED;10;0.0033;0.0;0.0183;0.022
test|V-50-1-A0121.pdf;1;A1;0.5;13099;323;14.0;15.1;240.0;6.0;0;0;VERIFIED;12;0.0043;0.0;0.0179;0.022
Ritningar|V50-1-0841 - Plan B2, Del 41, Värme & Sanitäranlägg-.pdf;1;A1;0.5;17879;243;12.4;13.6;216.0;6.1;0;0;VERIFIED;11;0.0039;0.0;0.0182;0.022
z|13|1760278_1.pdf;1;A1;0.5;9431;319;15.5;16.8;218.0;5.6;0;0;VERIFIED;3;0.0048;0.0;0.0168;0.022
z|13|1760302_1.pdf;1;A1;0.5;8942;316;12.2;13.6;220.0;6.0;0;0;VERIFIED;3;0.0039;0.0;0.018;0.022
E;1;A1;0.5;18878;305;16.8;18.3;270.0;5.3;0;0;BAR_ONLY;5;0.0052;0.0;0.016;0.021
V-50-1-A0223;1;A1;0.5;9367;406;12.1;12.9;229.0;5.7;0;0;VERIFIED;2;0.0037;0.0;0.0171;0.021
V-50-1-A0311;1;A1;0.5;10410;376;11.8;12.8;230.0;5.9;0;0;VERIFIED;4;0.0037;0.0;0.0176;0.021
V-50-1-A0423;1;A1;0.5;8081;373;10.4;11.4;224.0;5.9;0;0;VERIFIED;7;0.0033;0.0;0.0177;0.021
W-50-1-A0024;1;A1;0.5;19043;303;15.9;17.3;272.0;5.2;0;0;BAR_ONLY;5;0.0049;0.0;0.0157;0.021
src|03 - Sweco - AutoCAD 2023 - pdfplot16 - Hairline|R9UHA10-CLB001-002.pdf;1;A1;0.5;18901;320;28.2;29.2;239.0;4.2;0;0;VERIFIED;0;0.0083;0.0;0.0127;0.021
test|V-50-1-A0111.pdf;1;A1;0.5;9321;311;11.7;12.8;228.0;5.8;0;0;VERIFIED;6;0.0037;0.0;0.0173;0.021
test|W-50-1-ADD-0024.pdf;1;A1;0.5;19043;309;16.7;17.9;270.0;5.3;0;0;BAR_ONLY;5;0.0051;0.0;0.0159;0.021
z|3|10.pdf;1;A3;0.125;12272;147;21.9;22.8;212.0;4.7;0;0;VERIFIED;0;0.0065;0.0;0.0141;0.021
V-50-1-A0211;1;A1;0.5;9774;361;10.6;11.6;226.0;5.5;0;0;VERIFIED;2;0.0033;0.0;0.0165;0.02
V-50-1-A0323;1;A1;0.5;9241;378;10.4;11.4;226.0;5.6;0;0;VERIFIED;3;0.0033;0.0;0.0169;0.02
W-50-1-A0021;1;A1;0.5;18196;296;14.0;15.4;267.0;5.1;0;0;BAR_ONLY;5;0.0044;0.0;0.0152;0.02
W-50-1-A0031;1;A1;0.5;18696;300;23.8;25.2;270.0;4.2;0;0;BAR_ONLY;0;0.0072;0.0;0.0127;0.02
test|W-50-1-AEE-0021.pdf;1;A1;0.5;18196;303;14.6;15.8;268.0;5.1;0;0;BAR_ONLY;5;0.0045;0.0;0.0154;0.02
z|13|1760290_1.pdf;1;A1;0.5;11930;378;13.6;14.9;234.0;5.1;0;0;VERIFIED;0;0.0043;0.0;0.0154;0.02
z|4|24.pdf;1;A1;0.5;13392;249;10.4;11.6;217.0;5.5;0;0;VERIFIED;5;0.0033;0.0;0.0166;0.02
V-50-1-A0221;1;A1;0.5;9800;324;11.6;12.6;226.0;5.1;0;0;VERIFIED;5;0.0036;0.0;0.0152;0.019
Priorn|V-50-1-A0401.pdf;1;A1;0.5;11303;295;21.3;22.1;233.0;4.4;0;0;TEXT_ONLY;5;0.0063;0.0;0.0131;0.019
Priorn|V-53-1-A0001.pdf;1;A1;0.5;13968;308;21.6;22.5;241.0;4.1;0;0;VERIFIED;2;0.0064;0.0;0.0123;0.019
test|V-50-1-A0311.pdf;1;A1;0.5;10302;290;11.1;12.1;230.0;5.2;0;0;VERIFIED;4;0.0035;0.0;0.0157;0.019
test|V-50-1-A0423.pdf;1;A1;0.5;7940;271;9.8;10.9;224.0;5.2;0;0;VERIFIED;7;0.0031;0.0;0.0156;0.019
test|V-50-1-B0114.pdf;1;A1;0.5;9642;268;9.9;10.8;224.0;5.2;0;0;VERIFIED;10;0.0031;0.0;0.0157;0.019
Ritningar|V50-1-0832 - Plan B2, Del 32, Värme & Sanitäranlägg-.pdf;1;A1;0.5;12151;210;10.4;11.6;202.0;5.3;0;0;VERIFIED;7;0.0033;0.0;0.0159;0.019
z|13|1760308_1.pdf;1;A1;0.5;7681;280;11.3;12.5;214.0;5.2;0;0;VERIFIED;2;0.0036;0.0;0.0155;0.019
V-50-1-B0112;1;A1;0.5;8532;366;8.6;9.6;222.0;5.1;0;0;VERIFIED;7;0.0027;0.0;0.0153;0.018
W-50-1-A0022;1;A1;0.5;17549;289;19.7;21.1;268.0;4.0;0;0;BAR_ONLY;0;0.006;0.0;0.012;0.018
W-50-1-A0023;1;A1;0.5;17571;290;19.9;21.2;265.0;4.1;0;0;BAR_ONLY;0;0.0061;0.0;0.0123;0.018
W-50-1-A0032;1;A1;0.5;17638;272;12.5;13.9;260.0;4.5;0;0;BAR_ONLY;5;0.004;0.0;0.0136;0.018
W-50-1-A0034;1;A1;0.5;17290;290;19.9;21.3;263.0;4.0;0;0;BAR_ONLY;0;0.0061;0.0;0.012;0.018
Rundstickan|V-50-1-B0414.pdf;1;A1;0.5;17061;307;9.9;10.8;239.0;4.8;0;0;VERIFIED;9;0.0031;0.0;0.0144;0.018
Rundstickan|V-50-6-B0222.pdf;1;A1;0.5;9863;278;23.8;24.6;225.0;3.7;0;0;TEXT_ONLY;0;0.007;0.0;0.011;0.018
Priorn|V-50-1-A0402.pdf;1;A1;0.5;10874;289;20.6;21.4;230.0;3.9;0;0;TEXT_ONLY;0;0.0061;0.0;0.0116;0.018
test|V-50-1-A0211.pdf;1;A1;0.5;9684;287;10.5;11.6;226.0;5.0;0;0;VERIFIED;2;0.0033;0.0;0.0149;0.018
test|V-50-1-A0221.pdf;1;A1;0.5;9758;283;11.0;12.0;226.0;4.8;0;0;VERIFIED;5;0.0034;0.0;0.0143;0.018
test|V-50-1-A0223.pdf;1;A1;0.5;9223;296;11.3;12.3;227.0;4.9;0;0;VERIFIED;2;0.0035;0.0;0.0148;0.018
test|V-50-1-A0323.pdf;1;A1;0.5;9127;285;9.9;10.9;226.0;5.0;0;0;VERIFIED;3;0.0031;0.0;0.015;0.018
test|W-50-1-A-0022.pdf;1;A1;0.5;17549;295;19.7;20.9;266.0;4.1;0;0;BAR_ONLY;0;0.006;0.0;0.0122;0.018
Ritningar|V50-1-0843 - Plan B2, Del 43, Värme & Sanitäranlägg-.pdf;1;A1;0.5;7662;168;8.9;10.0;191.0;5.2;0;0;VERIFIED;10;0.0029;0.0;0.0155;0.018
z|13|1760276_1.pdf;1;A1;0.5;6306;245;8.8;10.0;202.0;5.2;0;0;VERIFIED;3;0.0029;0.0;0.0155;0.018
Rundstickan|V-50-1-B0422.pdf;1;A1;0.5;17363;307;10.6;11.5;239.0;4.7;0;0;VERIFIED;10;0.0033;0.0;0.0141;0.017
Rundstickan|V-52-1-A0123.pdf;1;A1;0.5;9239;271;9.4;10.3;226.0;4.6;0;0;VERIFIED;3;0.0029;0.0;0.0137;0.017
TOFTASKOLAN HUS B|V-50-1-020 HT.pdf;1;A1;0.5;9157;247;17.9;19.1;214.0;3.8;0;0;VERIFIED;0;0.0055;0.0;0.0114;0.017
Ritningar|V50-1-0823 - Plan B2, Del 23, Värme & Sanitäranlägg-.pdf;1;A1;0.5;9214;190;9.7;10.8;196.0;4.7;0;0;VERIFIED;8;0.0031;0.0;0.0141;0.017
z|13|1760275_1.pdf;1;A1;0.5;6915;263;11.5;12.6;205.0;4.6;0;0;VERIFIED;2;0.0036;0.0;0.0138;0.017
z|13|1760289_1.pdf;1;A1;0.5;8922;284;9.8;11.0;212.0;4.8;0;0;VERIFIED;6;0.0031;0.0;0.0143;0.017
z|13|1760296_1.pdf;1;A1;0.5;8738;330;11.3;12.6;222.0;4.4;0;0;VERIFIED;0;0.0036;0.0;0.0132;0.017
C;1;A1;0.5;16287;321;12.5;13.9;260.0;4.0;0;0;BAR_ONLY;5;0.004;0.0;0.0121;0.016
W-50-1-A0033;1;A1;0.5;16233;257;11.2;12.5;252.0;4.1;0;0;BAR_ONLY;6;0.0036;0.0;0.0124;0.016
Rundstickan|V-50-8-A0001.pdf;1;A1;0.5;10007;330;11.1;12.0;230.0;4.3;0;0;NONE;0;0.0034;0.0;0.0128;0.016
test|V-50-1-B0112.pdf;1;A1;0.5;8403;264;8.5;9.5;221.0;4.4;0;0;VERIFIED;7;0.0027;0.0;0.0131;0.016
test|W-50-1-ASD-0033.pdf;1;A1;0.5;16233;263;12.6;13.8;254.0;4.2;0;0;BAR_ONLY;6;0.0039;0.0;0.0126;0.016
TOFTASKOLAN HUS B|12.4 Ritningsförteckning VVS.pdf;2;A3;0.125;231;596;0.4;1.5;121.0;5.3;0;0;TEXT_ONLY;0;0.0004;0.0;0.0158;0.016
z|9|10.pdf;1;A1;0.5;11976;179;13.4;14.6;215.0;4.0;0;0;VERIFIED;3;0.0042;0.0;0.0121;0.016
z|13|1760312_1.pdf;1;A1;0.5;8409;271;9.8;11.0;209.0;4.4;0;0;VERIFIED;4;0.0031;0.0;0.0132;0.016
Rundstickan|V-53-1-A0123.pdf;1;A1;0.5;9143;269;10.4;11.2;228.0;4.0;0;0;VERIFIED;4;0.0032;0.0;0.0121;0.015
Rundstickan|V-53-1-A0124.pdf;1;A1;0.5;7831;254;11.5;12.1;221.0;3.8;0;0;VERIFIED;4;0.0035;0.0;0.0114;0.015
TOFTASKOLAN HUS B|V-50-1-010 HT.pdf;1;A1;0.5;8706;242;13.7;14.9;216.0;3.6;0;0;VERIFIED;0;0.0043;0.0;0.0109;0.015
z|13|1760277_1.pdf;1;A1;0.5;4064;195;7.5;8.6;192.0;4.1;0;0;VERIFIED;3;0.0025;0.0;0.0122;0.015
z|13|1760317_1.pdf;1;A1;0.5;11269;234;17.1;18.2;210.0;3.4;0;0;VERIFIED;0;0.0052;0.0;0.0101;0.015
Rundstickan|V-50-1-A5522.pdf;1;A1;0.5;10772;288;10.4;11.2;231.0;3.7;0;0;VERIFIED;3;0.0032;0.0;0.011;0.014
Rundstickan|V-50-1-B0113.pdf;1;A1;0.5;6989;221;7.3;8.2;216.0;3.9;0;0;VERIFIED;3;0.0023;0.0;0.0118;0.014
Rundstickan|V-50-1-B0223.pdf;1;A1;0.5;7564;238;10.5;11.5;219.0;3.6;0;0;VERIFIED;2;0.0033;0.0;0.0109;0.014
Rundstickan|V-50-1-B0412.pdf;1;A1;0.5;13783;282;8.4;9.3;229.0;3.9;0;0;VERIFIED;6;0.0027;0.0;0.0116;0.014
Rundstickan|V-50-6-B0122.pdf;1;A1;0.5;10610;284;8.5;9.3;227.0;3.8;0;0;VERIFIED;0;0.0027;0.0;0.0113;0.014
Rundstickan|V-50-6-B0322.pdf;1;A1;0.5;10287;281;8.9;9.8;225.0;3.8;0;0;VERIFIED;0;0.0028;0.0;0.0115;0.014
Rundstickan|V-50-8-B0001.pdf;1;A1;0.5;8587;302;9.1;10.0;224.0;3.8;0;0;NONE;0;0.0029;0.0;0.0115;0.014
Priorn|V-50-1-A0002.pdf;1;A1;0.5;10507;270;11.0;11.9;230.0;3.5;0;0;CONFLICT;0;0.0034;0.0;0.0105;0.014
Ritningar|V50-1-0834 - Plan B2, Del 34, Värme & Sanitäranlägg-.pdf;1;A1;0.5;4416;149;5.9;7.0;184.0;4.1;0;0;VERIFIED;9;0.002;0.0;0.0122;0.014
z|13|1760287_1.pdf;1;A1;0.5;8099;273;9.4;10.5;211.0;3.8;0;0;VERIFIED;0;0.003;0.0;0.0113;0.014
z|13|1760299_1.pdf;1;A1;0.5;7047;250;8.3;9.5;209.0;3.6;0;0;VERIFIED;1;0.0027;0.0;0.0108;0.014
Rundstickan|V-50-1-A0612.pdf;1;A1;0.5;8398;255;7.3;8.2;221.0;3.4;0;0;VERIFIED;1;0.0023;0.0;0.0103;0.013
Rundstickan|V-50-1-A0622.pdf;1;A1;0.5;9019;272;8.9;9.8;225.0;3.4;0;0;VERIFIED;0;0.0028;0.0;0.0103;0.013
Rundstickan|V-50-1-A5512.pdf;1;A1;0.5;9272;264;8.5;9.4;223.0;3.5;0;0;VERIFIED;3;0.0027;0.0;0.0104;0.013
Rundstickan|V-50-1-B0212.pdf;1;A1;0.5;8436;251;9.2;10.2;220.0;3.5;0;0;VERIFIED;3;0.0029;0.0;0.0105;0.013
Rundstickan|V-50-6-B0112.pdf;1;A1;0.5;9471;266;8.2;9.0;222.0;3.4;0;0;VERIFIED;0;0.0026;0.0;0.0101;0.013
Rundstickan|V-50-6-B0114.pdf;1;A1;0.5;9880;268;7.8;8.6;222.0;3.4;0;0;VERIFIED;0;0.0025;0.0;0.0101;0.013
Rundstickan|V-50-6-B0214.pdf;1;A1;0.5;10035;274;8.4;9.2;224.0;3.5;0;0;VERIFIED;0;0.0026;0.0;0.0104;0.013
Rundstickan|V-50-6-B0412.pdf;1;A1;0.5;14131;291;7.9;8.8;229.0;3.4;0;0;VERIFIED;0;0.0025;0.0;0.0101;0.013
Rundstickan|V-50-6-B0414.pdf;1;A1;0.5;16567;314;8.2;9.1;237.0;3.6;0;0;VERIFIED;0;0.0026;0.0;0.0109;0.013
Rundstickan|V-50-6-B0422.pdf;1;A1;0.5;15806;303;8.1;9.0;234.0;3.5;0;0;VERIFIED;0;0.0026;0.0;0.0104;0.013
Rundstickan|V-53-1-A0111.pdf;1;A1;0.5;7532;234;8.5;9.3;219.0;3.5;0;0;VERIFIED;3;0.0027;0.0;0.0105;0.013
Ritningar|V50-1-0844 - Plan B2, Del 44, Värme & Sanitäranlägg-.pdf;1;A1;0.5;10383;171;6.4;7.6;197.0;3.7;0;0;VERIFIED;6;0.0022;0.0;0.0111;0.013
z|13|1760293_1.pdf;1;A1;0.5;7436;257;9.7;11.0;211.0;3.3;0;0;VERIFIED;0;0.0031;0.0;0.0098;0.013
z|13|1760305_1.pdf;1;A1;0.5;6597;239;7.7;9.0;207.0;3.4;0;0;VERIFIED;1;0.0026;0.0;0.0103;0.013
Rundstickan|V-50-1-A0611.pdf;1;A1;0.5;6858;241;6.8;7.7;215.0;3.2;0;0;VERIFIED;0;0.0022;0.0;0.0095;0.012
Rundstickan|V-50-1-A0623.pdf;1;A1;0.5;7722;248;7.4;8.2;218.0;3.2;0;0;VERIFIED;0;0.0023;0.0;0.0096;0.012
Rundstickan|V-50-1-B0121.pdf;1;A1;0.5;6246;214;6.4;7.1;214.0;3.2;0;0;VERIFIED;1;0.002;0.0;0.0097;0.012
Rundstickan|V-50-1-B0312.pdf;1;A1;0.5;10244;251;8.2;9.3;223.0;3.2;0;0;VERIFIED;2;0.0027;0.0;0.0097;0.012
Rundstickan|V-50-1-B0314.pdf;1;A1;0.5;7091;232;8.1;9.1;216.0;3.2;0;0;VERIFIED;1;0.0026;0.0;0.0097;0.012
Rundstickan|V-50-1-B0423.pdf;1;A1;0.5;8306;235;7.3;8.3;218.0;3.2;0;0;VERIFIED;2;0.0024;0.0;0.0097;0.012
Rundstickan|V-50-1-B0512.pdf;1;A1;0.5;8596;249;7.6;8.5;220.0;3.2;0;0;VERIFIED;0;0.0024;0.0;0.0095;0.012
Rundstickan|V-50-1-B0514.pdf;1;A1;0.5;9471;252;7.6;8.5;222.0;3.2;0;0;VERIFIED;0;0.0024;0.0;0.0095;0.012
Rundstickan|V-50-1-B0522.pdf;1;A1;0.5;9556;254;7.9;8.7;222.0;3.2;0;0;VERIFIED;0;0.0025;0.0;0.0096;0.012
Rundstickan|V-50-6-B0212.pdf;1;A1;0.5;9107;262;8.2;9.2;219.0;3.2;0;0;VERIFIED;0;0.0026;0.0;0.0097;0.012
Rundstickan|V-50-6-B0223.pdf;1;A1;0.5;8569;256;7.6;8.4;218.0;3.2;0;0;VERIFIED;0;0.0024;0.0;0.0096;0.012
Rundstickan|V-50-6-B0312.pdf;1;A1;0.5;11352;268;7.9;8.7;222.0;3.2;0;0;VERIFIED;0;0.0025;0.0;0.0096;0.012
Rundstickan|V-50-6-B0314.pdf;1;A1;0.5;8270;251;7.5;8.3;217.0;3.1;0;0;VERIFIED;0;0.0024;0.0;0.0094;0.012
TOFTASKOLAN HUS B|V-50-8-001.pdf;1;A1;0.5;2670;183;8.9;10.0;200.0;3.0;0;0;TEXT_ONLY;0;0.0029;0.0;0.0089;0.012
TOFTASKOLAN HUS B|V-57.1-02-BÖP.pdf;1;A1;0.5;6939;229;6.3;7.4;209.0;3.2;0;0;VERIFIED;0;0.0021;0.0;0.0095;0.012
TOFTASKOLAN HUS B|V-57.1-02-HT.pdf;1;A1;0.5;7156;224;6.6;7.7;209.0;3.2;0;0;VERIFIED;0;0.0022;0.0;0.0095;0.012
z|13|1760311_1.pdf;1;A1;0.5;7438;233;8.2;9.5;205.0;3.2;0;0;VERIFIED;1;0.0027;0.0;0.0096;0.012
S1_plan10_del44.pdf;1;A1;0.5;6636;168;6.0;6.9;190.0;3.0;0;0;VERIFIED;1;0.002;0.0;0.0091;0.011
Rundstickan|V-50-1-B0111.pdf;1;A1;0.5;6770;219;6.5;7.3;214.0;3.0;0;0;VERIFIED;1;0.0021;0.0;0.0091;0.011
TOFTASKOLAN HUS B|V-57.1-03-DEM.pdf;1;A3;0.125;1535;82;6.5;7.6;181.0;2.9;0;0;NONE;0;0.0022;0.0;0.0087;0.011
TOFTASKOLAN HUS B|V-50-1-01 RIVNING.pdf;1;A3;0.125;399;299;3.6;4.7;184.0;3.1;0;0;NONE;0;0.0013;0.0;0.0092;0.01
TOFTASKOLAN HUS B|V-57.1-01-BÖP.pdf;1;A1;0.5;4317;195;5.2;6.4;203.0;2.7;0;0;VERIFIED;0;0.0018;0.0;0.0082;0.01
TOFTASKOLAN HUS B|V-57.1-01-HT.pdf;1;A1;0.5;4886;202;5.6;6.7;205.0;2.8;0;0;VERIFIED;0;0.0019;0.0;0.0085;0.01
TOFTASKOLAN HUS B|V-57.8-001.pdf;1;A1;0.5;14736;201;7.5;8.5;219.0;2.6;0;0;NONE;0;0.0024;0.0;0.0078;0.01
TOFTASKOLAN HUS B|V-53-1-010.pdf;1;A1;0.5;1827;160;4.6;5.7;191.0;2.5;0;0;VERIFIED;0;0.0016;0.0;0.0075;0.009
z|13|1760268_1.pdf;1;A1;0.5;3226;157;4.9;6.0;186.0;2.5;0;0;VERIFIED;1;0.0017;0.0;0.0075;0.009
z|13|1760270_1.pdf;1;A1;0.5;3409;156;5.3;6.3;185.0;2.5;0;0;VERIFIED;2;0.0018;0.0;0.0076;0.009
z|13|1760272_1.pdf;1;A1;0.5;2170;134;4.6;5.7;180.0;2.5;0;0;VERIFIED;4;0.0016;0.0;0.0075;0.009
TOFTASKOLAN HUS B|V-53-1-010 HT.pdf;1;A1;0.5;1635;153;4.3;5.3;190.0;1.9;0;0;VERIFIED;0;0.0015;0.0;0.0056;0.007
