blad;sidor;format;yta_m2;banor;fil_kB;vagg_s;cpu_s;minne_MB;utdata_MB;fragor;fragetecken;skala;namn_med_meter;cpu_kr;llm_kr;lagring_kr;kr
test|V-50-1-A0212.pdf;1;A1;0.5;14316;368;18.3;19.4;244.0;9.7;8;6886;VERIFIED;25;0.0055;0.418;0.029;0.453
V-50-1-A0411;1;A1;0.5;10689;455;12.8;13.8;231.0;7.6;8;6884;VERIFIED;12;0.0039;0.418;0.0227;0.445
SJÄLVSTYRELSEGÅRDEN|V-500-1-010-130.pdf;1;A1;0.5;30369;437;178.3;179.7;296.0;9.0;7;5971;CONFLICT;0;0.0513;0.366;0.0269;0.444
test|V-50-1-A0411.pdf;1;A1;0.5;10452;294;12.1;13.2;230.0;6.4;8;6884;VERIFIED;12;0.0038;0.418;0.0193;0.442
V-50-1-A0512;1;A1;0.5;13875;779;18.9;20.1;245.0;12.3;7;6352;VERIFIED;22;0.0057;0.368;0.0369;0.41
Priorn|V-50-1-A0201.pdf;1;A1;0.5;18442;398;56.4;57.2;260.0;7.1;7;6152;TEXT_ONLY;3;0.0163;0.367;0.0213;0.404
test|V-50-1-A0512.pdf;1;A1;0.5;13212;338;18.5;19.6;244.0;9.4;7;6352;VERIFIED;22;0.0056;0.368;0.0283;0.402
Ritningar|R9UHA10-CLB001-003.pdf;1;A1;0.5;19116;337;19.8;21.0;244.0;7.7;7;6510;CONFLICT;2;0.006;0.369;0.023;0.398
SJÄLVSTYRELSEGÅRDEN|V-570-1-010-100.pdf;1;A1;0.5;83252;1704;1193.2;1195.5;470.0;18.8;0;0;CONFLICT;0;0.3412;0.0;0.0565;0.398
z|5|6.pdf;1;A1;0.5;12182;264;37.7;38.9;232.0;7.3;7;5570;VERIFIED;11;0.0111;0.364;0.022;0.397
z|3|7.pdf;1;A3;0.125;13727;170;20.1;21.3;219.0;6.1;7;5655;VERIFIED;7;0.0061;0.364;0.0184;0.389
SJÄLVSTYRELSEGÅRDEN|V-500-1-010-110.pdf;1;A1;0.5;27968;476;103.6;105.0;292.0;9.7;6;5110;CONFLICT;0;0.03;0.314;0.0292;0.373
z|5|25.pdf;1;A1;0.5;36072;443;1223.7;1225.0;365.0;7.3;0;0;VERIFIED;0;0.3496;0.0;0.0218;0.371
W-50-1-A0123;1;A1;0.5;28742;531;30.5;32.0;292.0;10.9;6;5838;CONFLICT;23;0.0091;0.317;0.0328;0.359
src|01 - AutoCAD - pdfplot14-16 - Ghostscript 9.21|V-50-1-A0101.pdf;1;A1;0.5;19894;430;60.9;61.9;267.0;8.6;6;5445;TEXT_ONLY;8;0.0177;0.315;0.0259;0.359
