file_id,path,filename,extension,mime,size,modified,parent_folders,logical_project,drawing_number,revision,classification,validation_role,local_copy,sha256,hash_source,verified,duplicate_status
1FHou2yAhpYeMudSE1ddIud6qV_jIlcdr,Drawings/Other drawings (different format)/Fyrens förskola/W-53-1-110.pdf,W-53-1-110.pdf,pdf,application/pdf,287084,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-53-1-0110,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1skDCltHUN5lkDWtY4hGvQDKbDRupCA6T,Drawings/Other drawings (different format)/Fyrens förskola/W-56-1-111.pdf,W-56-1-111.pdf,pdf,application/pdf,304858,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-56-1-0111,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
17obV9i6SKoENhBAu8v8O8MQlU128piST,Drawings/Other drawings (different format)/Fyrens förskola/W-56-1-113.pdf,W-56-1-113.pdf,pdf,application/pdf,289559,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-56-1-0113,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1fCOCZ8K_mjMJCjQ5CB-WkuLoTAXusbnF,Drawings/Other drawings (different format)/Fyrens förskola/W-53-1-112.pdf,W-53-1-112.pdf,pdf,application/pdf,201644,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-53-1-0112,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1ma0joHJdIdBMGgMifP9mBmw4AP1PUP1E,Drawings/Other drawings (different format)/Fyrens förskola/W-50-8-001.pdf,W-50-8-001.pdf,pdf,application/pdf,153044,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-50-8-0001,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1xRnUjDcKUPgsna3BXgnxOxUft6euZ7Ki,Drawings/Other drawings (different format)/Fyrens förskola/W-53-1-111.pdf,W-53-1-111.pdf,pdf,application/pdf,184658,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-53-1-0111,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1yOwIpRXNcpt_WN6mdOIW1RsqJ3Ywwoq1,Drawings/Other drawings (different format)/Fyrens förskola/W-50-1-211.pdf,W-50-1-211.pdf,pdf,application/pdf,121762,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-50-1-0211,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1hHdJlJfkENihLr9VZLK2LXWKMzMke3oO,Drawings/Other drawings (different format)/Fyrens förskola/12.03.01 Ritningsförteckning Rör.pdf,12.03.01 Ritningsförteckning Rör.pdf,pdf,application/pdf,124662,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1JEdIj2DYs4NgxAVDUD8zKyAmCApbo7Ov,Drawings/Other drawings (different format)/Fyrens förskola/W-53-1-211.pdf,W-53-1-211.pdf,pdf,application/pdf,123264,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-53-1-0211,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1Dy5xQEEuvI_Jn7Ode4z5ugffMa7kTAh9,Drawings/Other drawings (different format)/Fyrens förskola/W-50-1-123.pdf,W-50-1-123.pdf,pdf,application/pdf,149662,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-50-1-0123,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1zNue90M2f_YvAeHWUEikgALF78f2-ORx,Drawings/Other drawings (different format)/Fyrens förskola/W-53-1-113.pdf,W-53-1-113.pdf,pdf,application/pdf,174990,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-53-1-0113,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1XWCQX1Xcrp9WVIlQbmRJ8_wQPyFalgvD,Drawings/Other drawings (different format)/Fyrens förskola/W-50-1-121.pdf,W-50-1-121.pdf,pdf,application/pdf,154469,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-50-1-0121,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1b67jjWFWES5ZoFgFGlb4XqlIUpRN1vx0,Drawings/Other drawings (different format)/Fyrens förskola/W-50-1-120.pdf,W-50-1-120.pdf,pdf,application/pdf,308594,2026-08-29T11:06:46Z,Other drawings (different format)/Fyrens förskola,Other drawings (different format),W-50-1-0120,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1il-xQ3eN-GFed9u2KRN90CFAlj6kpoT1,Drawings/Other drawings (different format)/Hamnmagasinet/12.4 Rörsystem.pdf,12.4 Rörsystem.pdf,pdf,application/pdf,2902207,2026-08-29T11:19:18Z,Other drawings (different format)/Hamnmagasinet,Other drawings (different format),,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1LdJBJQkOrSJUnJLheSggGszDo2xsJiPh,Drawings/Other drawings (different format)/Hamnmagasinet/11.4 Teknisk beskrivning rörsystem.pdf,11.4 Teknisk beskrivning rörsystem.pdf,pdf,application/pdf,1519801,2026-08-29T11:19:44Z,Other drawings (different format)/Hamnmagasinet,Other drawings (different format),,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1L0DfLhG2nUgdcQv4a-OFmAJgpWIlGbbs,Drawings/Other drawings (different format)/Fyrtornet 2/Bluebeam test.pdf,Bluebeam test.pdf,pdf,application/pdf,3657469,2026-07-30T12:08:52Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),,,OTHER_FORMAT_PDF,,,,ej hämtad,,UNIQUE
1Ej3tYSZD5fYfN1KFgMZC1TGSHrPS448j,Drawings/Other drawings (different format)/Fyrtornet 2/1760317_1.pdf,1760317_1.pdf,pdf,application/pdf,239741,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760317_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760317_1.pdf,fa2fd7e8995a3bc122bbf7f9d5d156308fed45ccb003894a53fd8888ba53a55b,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
13taj0cExCY1xdp1dE0WCCwocZdFyx6Uj,Drawings/Other drawings (different format)/Fyrtornet 2/1760272_1.pdf,1760272_1.pdf,pdf,application/pdf,136868,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760272_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760272_1.pdf,cef7cbfb162d2a91bc12f475bda2f9c36f007ab82cd478854c4e5b8a5be4394d,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1QjH4YJUr13hX6n1J3FW6S1VogQ3P8ET6,Drawings/Other drawings (different format)/Fyrtornet 2/1760274_1.pdf,1760274_1.pdf,pdf,application/pdf,497688,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760274_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760274_1.pdf,a155562a6d8e83a54ee0cb84867240424cd25a20aaa26f3b5a8a4175687d13bb,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1mcHgy7ChsO80Y_1VXwhSZcfYO3udAXxE,Drawings/Other drawings (different format)/Fyrtornet 2/1760290_1.pdf,1760290_1.pdf,pdf,application/pdf,387003,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760290_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760290_1.pdf,ddaede21558a906c5f423cb0f8f578855e765575153082f62ad3de9c8172e50c,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1_GAsaI6XQGTtsDPHOOHZJWHnyp3MzoD5,Drawings/Other drawings (different format)/Fyrtornet 2/1760296_1.pdf,1760296_1.pdf,pdf,application/pdf,337961,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760296_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760296_1.pdf,d4d523708cdbd4aba58d4ed53667331e019a5ec003fa1bc19f4baf6970ec9c5b,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1N8Ro0kK8kCt28HGrcjZOQ_z9jvn4gNkl,Drawings/Other drawings (different format)/Fyrtornet 2/1760294_1.pdf,1760294_1.pdf,pdf,application/pdf,357229,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760294_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760294_1.pdf,5a710052739fa5c6ce84ee368bf80ca9f0537d67dfb3e819d7ec53fc3f348fc7,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1fUx3L0sdpon54j5k4hK3FHTg6AcL_-Qs,Drawings/Other drawings (different format)/Fyrtornet 2/1760292_1.pdf,1760292_1.pdf,pdf,application/pdf,374427,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760292_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760292_1.pdf,725ed0099b68a3efca4851fd33d728b954449256a159106b09d96a64a1e0b384,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1aZ7NRiNPlBWLvag2ZlPnd5klHWqp75rE,Drawings/Other drawings (different format)/Fyrtornet 2/1760289_1.pdf,1760289_1.pdf,pdf,application/pdf,290322,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760289_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760289_1.pdf,200ac5ab4a50bf5768e932f0f3fc264676f70e68e4391ea355e21598561b6f87,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1P3Mr_LTLRcOHTN8t8lsC4hDgL9UqBTEJ,Drawings/Other drawings (different format)/Fyrtornet 2/1760276_1.pdf,1760276_1.pdf,pdf,application/pdf,251314,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760276_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760276_1.pdf,e69471766087014e7051660eef4c25770fde7707e5bac96b8523a153e1fd1493,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1TN6858W3hr7EhlR-V285jipoExv5r9tz,Drawings/Other drawings (different format)/Fyrtornet 2/1760311_1.pdf,1760311_1.pdf,pdf,application/pdf,238211,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760311_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760311_1.pdf,5b4412bfa76706f0bb059775ec65f67066da52344a24d4d89dad99fdd23a7dd1,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1Gw5L5IzTlSYKx2cRYRZjfeZuay1QBedB,Drawings/Other drawings (different format)/Fyrtornet 2/1760313_1.pdf,1760313_1.pdf,pdf,application/pdf,254850,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760313_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760313_1.pdf,82f92c317fbb38c294977e02b55d41ed3220c6e982b1f508d464e55b7047b7ed,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1LUroOgnO_MWs3qkeiaz_NmcGNRrTLRXt,Drawings/Other drawings (different format)/Fyrtornet 2/1760295_1.pdf,1760295_1.pdf,pdf,application/pdf,266035,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760295_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760295_1.pdf,ca9081e7a5e32a26c573b32cf112e8ffe5ce05bfe619711524070a7732581fac,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1XYmHaszo8yNbO1tbReEeDIQe3WE2s7xZ,Drawings/Other drawings (different format)/Fyrtornet 2/1760308_1.pdf,1760308_1.pdf,pdf,application/pdf,286432,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760308_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760308_1.pdf,8af743c8a1e1779611f93ff3a5b7d6e611f37188db9a12155a5721180dd927e3,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1rcalZsZxql7Y0tvdxZMegq4xWe7NzpG5,Drawings/Other drawings (different format)/Fyrtornet 2/1760269_1.pdf,1760269_1.pdf,pdf,application/pdf,203120,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760269_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760269_1.pdf,dced7a1381d1664f40edc35dacdc99b855337497277f1cf0aa40d5678bf56952,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1XoLMDNyXdWNU76XE6VwiUNkdttJ3y-W6,Drawings/Other drawings (different format)/Fyrtornet 2/1760314_1.pdf,1760314_1.pdf,pdf,application/pdf,162115,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760314_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760314_1.pdf,f29934d912bbaa8988e7793cc12c0a8596dfb46865d1983095e5cfd74de8ed71,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1ppSdNDCM9twLGLo5NKOcdE-PQ9hb7YyA,Drawings/Other drawings (different format)/Fyrtornet 2/1760270_1.pdf,1760270_1.pdf,pdf,application/pdf,160175,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760270_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760270_1.pdf,3973d319a46bd02fa4aba09ad1fea68ae85fe45087ab820b8362059081a45cfe,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1e8svtmUXOIRhB8daejYmMUt6095YKCwW,Drawings/Other drawings (different format)/Fyrtornet 2/1760268_1.pdf,1760268_1.pdf,pdf,application/pdf,160529,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760268_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760268_1.pdf,57d9a9cbb3b239531024e0d2f63dbd49eb2db0da5014cbde61b517558ad707bf,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
1y-4sN_OfX0EF84aeYe2_fXEEqa2TxQyU,Drawings/Other drawings (different format)/Fyrtornet 2/1760315_1.pdf,1760315_1.pdf,pdf,application/pdf,134692,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760315_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760315_1.pdf,09add2d08fd422983c86d9670ca0a6093d7386ccf92aba2d0502dbe7458732e5,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
15MtzrJlr1DkhMcSPNjzICCXrLFOSZ3zP,Drawings/Other drawings (different format)/Fyrtornet 2/1760291_1.pdf,1760291_1.pdf,pdf,application/pdf,476296,2026-07-30T10:57:50Z,Other drawings (different format)/Fyrtornet 2,Other drawings (different format),1760291_1,,OTHER_FORMAT_PDF,DEVELOPMENT,styles/z/13/1760291_1.pdf,22a95922ee44f850f163a69e5e6749aee59217fa31653793e5ee08ae13375b7d,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS ID_NOT_IN_SHEET_TEXT,IDENTICAL_IN_3_PLACES
